DATE,VALUE
1947-01-01,2.4
1947-04-01,2.4
1947-07-01,2.4
1947-10-01,2.4
1948-01-01,2.2
1948-04-01,2.1
1948-07-01,2.1
1948-10-01,2.0
1949-01-01,2.0
1949-04-01,1.9
1949-07-01,1.8
1949-10-01,1.8
1950-01-01,1.7
1950-04-01,1.7
1950-07-01,1.7
1950-10-01,1.8
1951-01-01,1.8
1951-04-01,1.8
1951-07-01,1.9
1951-10-01,1.9
1952-01-01,2.0
1952-04-01,2.0
1952-07-01,2.1
1952-10-01,2.2
1953-01-01,2.2
1953-04-01,2.3
1953-07-01,2.3
1953-10-01,2.4
1954-01-01,2.4
1954-04-01,2.5
1954-07-01,2.5
1954-10-01,2.6
1955-01-01,2.6
1955-04-01,2.7
1955-07-01,2.7
1955-10-01,2.8
1956-01-01,2.8
1956-04-01,2.9
1956-07-01,3.0
1956-10-01,3.0
1957-01-01,3.1
1957-04-01,3.1
1957-07-01,3.2
1957-10-01,3.3
1958-01-01,3.3
1958-04-01,3.3
1958-07-01,3.4
1958-10-01,3.4
1959-01-01,3.5
1959-04-01,3.5
1959-07-01,3.6
1959-10-01,3.7
1960-01-01,3.7
1960-04-01,3.8
1960-07-01,3.8
1960-10-01,3.9
1961-01-01,3.9
1961-04-01,4.0
1961-07-01,4.0
1961-10-01,4.1
1962-01-01,4.2
1962-04-01,4.2
1962-07-01,4.3
1962-10-01,4.4
1963-01-01,4.5
1963-04-01,4.6
1963-07-01,4.6
1963-10-01,4.7
1964-01-01,4.7
1964-04-01,4.8
1964-07-01,4.8
1964-10-01,4.9
1965-01-01,4.9
1965-04-01,5.0
1965-07-01,5.0
1965-10-01,5.1
1966-01-01,5.1
1966-04-01,5.2
1966-07-01,5.3
1966-10-01,5.4
1967-01-01,5.5
1967-04-01,5.5
1967-07-01,5.7
1967-10-01,5.8
1968-01-01,5.9
1968-04-01,6.0
1968-07-01,6.1
1968-10-01,6.2
1969-01-01,6.3
1969-04-01,6.4
1969-07-01,6.5
1969-10-01,6.6
1970-01-01,6.7
1970-04-01,6.8
1970-07-01,7.0
1970-10-01,7.1
1971-01-01,7.2
1971-04-01,7.2
1971-07-01,7.3
1971-10-01,7.3
1972-01-01,7.4
1972-04-01,7.5
1972-07-01,7.5
1972-10-01,7.6
1973-01-01,7.7
1973-04-01,7.9
1973-07-01,8.0
1973-10-01,8.2
1974-01-01,8.3
1974-04-01,8.5
1974-07-01,8.8
1974-10-01,9.0
1975-01-01,9.2
1975-04-01,9.4
1975-07-01,9.5
1975-10-01,9.7
1976-01-01,9.9
1976-04-01,10.0
1976-07-01,10.2
1976-10-01,10.5
1977-01-01,10.6
1977-04-01,10.8
1977-07-01,11.0
1977-10-01,11.2
1978-01-01,11.5
1978-04-01,11.8
1978-07-01,12.0
1978-10-01,12.2
1979-01-01,12.4
1979-04-01,12.8
1979-07-01,13.1
1979-10-01,13.4
1980-01-01,13.8
1980-04-01,14.2
1980-07-01,14.7
1980-10-01,15.1
1981-01-01,15.6
1981-04-01,16.1
1981-07-01,16.6
1981-10-01,17.0
1982-01-01,17.5
1982-04-01,18.0
1982-07-01,18.4
1982-10-01,18.8
1983-01-01,19.2
1983-04-01,19.5
1983-07-01,19.9
1983-10-01,20.4
1984-01-01,20.9
1984-04-01,21.4
1984-07-01,21.8
1984-10-01,22.2
1985-01-01,22.7
1985-04-01,23.1
1985-07-01,23.6
1985-10-01,24.0
1986-01-01,24.4
1986-04-01,24.9
1986-07-01,25.3
1986-10-01,25.8
1987-01-01,26.2
1987-04-01,26.6
1987-07-01,27.1
1987-10-01,27.7
1988-01-01,28.3
1988-04-01,28.8
1988-07-01,29.3
1988-10-01,29.9
1989-01-01,30.3
1989-04-01,30.8
1989-07-01,31.3
1989-10-01,31.7
1990-01-01,32.2
1990-04-01,32.6
