DATE,VALUE
1996-01-01,76.1
1996-02-01,76.8
1996-03-01,77.9
1996-04-01,78.5
1996-05-01,78.9
1996-06-01,78.2
1996-07-01,80.2
1996-08-01,79.5
1996-09-01,78.4
1996-10-01,77.6
1996-11-01,77.7
1996-12-01,77.8
1997-01-01,80.7
1997-02-01,79.9
1997-03-01,80.3
1997-04-01,81.3
1997-05-01,81.7
1997-06-01,81.3
1997-07-01,77.0
1997-08-01,75.2
1997-09-01,76.1
1997-10-01,75.1
1997-11-01,74.9
1997-12-01,75.7
1998-01-01,79.3
1998-02-01,79.4
1998-03-01,78.6
1998-04-01,80.2
1998-05-01,81.0
1998-06-01,81.5
1998-07-01,79.5
1998-08-01,77.0
1998-09-01,75.7
1998-10-01,76.0
1998-11-01,76.2
1998-12-01,77.3
1999-01-01,80.5
1999-02-01,80.2
1999-03-01,80.3
1999-04-01,80.6
1999-05-01,79.9
1999-06-01,81.1
1999-07-01,78.0
1999-08-01,76.6
1999-09-01,74.7
1999-10-01,74.0
1999-11-01,74.3
1999-12-01,73.9
2000-01-01,75.5
2000-02-01,77.1
2000-03-01,76.1
2000-04-01,77.2
2000-05-01,77.1
2000-06-01,77.7
2000-07-01,74.6
2000-08-01,73.5
2000-09-01,73.2
2000-10-01,72.6
2000-11-01,72.9
2000-12-01,72.9
2001-01-01,74.4
2001-02-01,74.7
2001-03-01,76.2
2001-04-01,78.0
2001-05-01,80.0
2001-06-01,81.1
2001-07-01,78.6
2001-08-01,77.5
2001-09-01,75.0
2001-10-01,75.9
2001-11-01,74.1
2001-12-01,75.2
2002-01-01,79.8
2002-02-01,80.5
2002-03-01,81.5
2002-04-01,81.5
2002-05-01,81.8
2002-06-01,81.9
2002-07-01,79.8
2002-08-01,79.2
2002-09-01,77.5
2002-10-01,77.4
2002-11-01,76.5
2002-12-01,76.6
2003-01-01,78.0
2003-02-01,82.6
2003-03-01,85.9
2003-04-01,86.5
2003-05-01,83.1
2003-06-01,83.5
2003-07-01,80.7
2003-08-01,80.6
2003-09-01,83.2
2003-10-01,81.2
2003-11-01,83.4
2003-12-01,81.2
2004-01-01,82.9
2004-02-01,80.2
2004-03-01,81.8
2004-04-01,81.7
2004-05-01,81.4
2004-06-01,81.0
2004-07-01,78.8
2004-08-01,78.3
2004-09-01,78.7
2004-10-01,78.0
2004-11-01,76.6
2004-12-01,77.2
2005-01-01,78.1
2005-02-01,81.2
2005-03-01,85.4
2005-04-01,81.5
2005-05-01,81.0
2005-06-01,81.2
2005-07-01,80.4
2005-08-01,79.7
2005-09-01,79.9
2005-10-01,77.7
2005-11-01,76.8
2005-12-01,76.8
2006-01-01,78.2
2006-02-01,80.1
2006-03-01,81.3
2006-04-01,82.0
2006-05-01,84.0
2006-06-01,86.3
2006-07-01,85.2
2006-08-01,86.7
2006-09-01,86.5
2006-10-01,83.2
2006-11-01,84.1
2006-12-01,85.7
2007-01-01,89.3
2007-02-01,89.3
2007-03-01,87.3
2007-04-01,91.3
2007-05-01,90.6
2007-06-01,89.2
2007-07-01,88.9
2007-08-01,87.9
2007-09-01,88.7
2007-10-01,89.1
2007-11-01,91.9
2007-12-01,92.4
2008-01-01,92.5
2008-02-01,91.7
2008-03-01,92.2
2008-04-01,94.2
2008-05-01,95.3
2008-06-01,96.0
2008-07-01,96.4
2008-08-01,96.9
2008-09-01,95.1
2008-10-01,93.0
2008-11-01,93.8
2008-12-01,95.9
2009-01-01,95.0
2009-02-01,96.1
2009-03-01,95.7
2009-04-01,96.2
2009-05-01,94.0
2009-06-01,94.7
2009-07-01,94.1
2009-08-01,93.4
2009-09-01,92.0
2009-10-01,90.7
2009-11-01,90.3
2009-12-01,89.5
2010-01-01,91.3
2010-02-01,91.8
2010-03-01,94.7
2010-04-01,95.3
2010-05-01,93.7
2010-06-01,93.1
2010-07-01,95.5
2010-08-01,95.3
2010-09-01,94.1
2010-10-01,92.9
2010-11-01,93.6
2010-12-01,93.6
2011-01-01,92.1
2011-02-01,94.1
2011-03-01,93.7
2011-04-01,95.0
2011-05-01,93.9
2011-06-01,94.9
2011-07-01,92.8
2011-08-01,91.3
2011-09-01,91.2
2011-10-01,91.2
2011-11-01,91.8
2011-12-01,92.7
2012-01-01,91.6
2012-02-01,93.0
2012-03-01,92.9
2012-04-01,92.0
2012-05-01,92.8
2012-06-01,95.3
2012-07-01,94.9
2012-08-01,95.7
2012-09-01,93.7
2012-10-01,93.6
2012-11-01,95.3
2012-12-01,96.6
2013-01-01,96.7
2013-02-01,95.7
2013-03-01,97.3
2013-04-01,96.8
2013-05-01,96.3
2013-06-01,98.6
2013-07-01,98.5
2013-08-01,98.2
2013-09-01,98.2
2013-10-01,96.6
2013-11-01,96.1
2013-12-01,97.0
2014-01-01,96.4
2014-02-01,94.4
2014-03-01,94.1
2014-04-01,94.3
2014-05-01,93.0
2014-06-01,95.6
2014-07-01,95.7
2014-08-01,95.2
2014-09-01,95.7
2014-10-01,96.1
2014-11-01,96.7
2014-12-01,97.5
2015-01-01,97.8
2015-02-01,96.2
2015-03-01,98.3
2015-04-01,98.8
2015-05-01,98.7
2015-06-01,101.5
2015-07-01,101.3
2015-08-01,98.9
2015-09-01,102.3
2015-10-01,103.0
2015-11-01,101.0
2015-12-01,102.2
2016-01-01,101.4
2016-02-01,102.8
2016-03-01,102.7
2016-04-01,103.4
2016-05-01,104.6
2016-06-01,104.4
2016-07-01,105.6
2016-08-01,104.5
