DATE,VALUE
1948-01-01,39.1458
1948-02-01,38.5703
1948-03-01,38.906
1948-04-01,39.4191
1948-05-01,38.8263
1948-06-01,39.0534
1948-07-01,38.7827
1948-08-01,39.6475
1948-09-01,39.9432
1948-10-01,40.521
1948-11-01,40.1084
1948-12-01,40.4167
1949-01-01,40.2318
1949-02-01,41.2382
1949-03-01,41.3444
1949-04-01,40.1652
1949-05-01,39.6873
1949-06-01,39.0067
1949-07-01,38.469
1949-08-01,35.6137
1949-09-01,36.5904
1949-10-01,34.7482
1949-11-01,34.1014
1949-12-01,32.9016
1950-01-01,32.0788
1950-02-01,32.096
1950-03-01,31.7929
1950-04-01,31.8896
1950-05-01,33.7699
1950-06-01,34.9795
1950-07-01,36.1157
1950-08-01,40.0593
1950-09-01,40.4545
1950-10-01,41.8554
1950-11-01,43.442
1950-12-01,44.6311
1951-01-01,46.2247
1951-02-01,48.2166
1951-03-01,50.5879
1951-04-01,52.6104
1951-05-01,53.4797
1951-06-01,55.0186
1951-07-01,55.7046
1951-08-01,57.3894
1951-09-01,59.0202
1951-10-01,59.5134
1951-11-01,65.2964
1951-12-01,67.0896
1952-01-01,69.9659
1952-02-01,71.5672
1952-03-01,73.4824
1952-04-01,74.1879
1952-05-01,77.6905
1952-06-01,79.6971
1952-07-01,81.1095
1952-08-01,82.8995
1952-09-01,82.2819
1952-10-01,86.2594
1952-11-01,86.7004
1952-12-01,89.6249
1953-01-01,91.1769
1953-02-01,91.2386
1953-03-01,91.1628
1953-04-01,90.9617
1953-05-01,90.889
1953-06-01,90.4937
1953-07-01,91.6863
1953-08-01,92.0271
1953-09-01,90.414
1953-10-01,90.3237
1953-11-01,84.3263
1953-12-01,83.5765
1954-01-01,82.1154
1954-02-01,80.1248
1954-03-01,78.8767
1954-04-01,76.7416
1954-05-01,75.7734
1954-06-01,74.4539
1954-07-01,73.4949
1954-08-01,72.4514
1954-09-01,72.207
1954-10-01,71.0828
1954-11-01,70.7544
1954-12-01,70.8319
1955-01-01,71.0838
1955-02-01,70.8983
1955-03-01,70.9409
1955-04-01,71.4165
1955-05-01,73.0125
1955-06-01,71.67
1955-07-01,72.3108
1955-08-01,72.5197
1955-09-01,72.898
1955-10-01,74.3804
1955-11-01,74.0721
1955-12-01,74.7383
1956-01-01,74.5574
1956-02-01,75.6369
1956-03-01,75.4952
1956-04-01,76.354
1956-05-01,77.869
1956-06-01,78.1331
1956-07-01,79.4644
1956-08-01,79.8019
1956-09-01,79.0757
1956-10-01,82.0944
1956-11-01,84.6034
1956-12-01,86.2821
1957-01-01,86.9864
1957-02-01,88.1703
1957-03-01,88.466
1957-04-01,88.1987
1957-05-01,86.2437
1957-06-01,87.0218
1957-07-01,85.6306
1957-08-01,84.6417
1957-09-01,82.2084
1957-10-01,79.937
1957-11-01,75.982
1957-12-01,73.5714
1958-01-01,73.0063
1958-02-01,70.596
1958-03-01,70.3691
1958-04-01,69.0186
1958-05-01,67.9083
1958-06-01,68.0019
1958-07-01,67.9349
1958-08-01,68.6711
1958-09-01,69.3272
1958-10-01,69.4212
1958-11-01,70.6403
1958-12-01,70.6437
1959-01-01,70.0846
1959-02-01,70.2488
1959-03-01,69.3579
1959-04-01,71.119
1959-05-01,71.8352
1959-06-01,72.1495
1959-07-01,73.3475
1959-08-01,72.6173
1959-09-01,69.1564
1959-10-01,68.5874
1959-11-01,68.5807
1959-12-01,68.5004
1960-01-01,67.9383
1960-02-01,68.661
1960-03-01,67.9449
1960-04-01,67.8713
1960-05-01,69.4845
1960-06-01,63.707
1960-07-01,66.2843
1960-08-01,66.2908
1960-09-01,65.9759
1960-10-01,66.7861
1960-11-01,65.9889
1960-12-01,65.8928
1961-01-01,66.4408
1961-02-01,65.3776
1961-03-01,66.6308
1961-04-01,66.9987
1961-05-01,67.53
1961-06-01,67.0074
1961-07-01,67.0525
1961-08-01,67.75
1961-09-01,70.1656
1961-10-01,70.4625
1961-11-01,72.1544
1961-12-01,72.6496
1962-01-01,71.9116
1962-02-01,73.9773
1962-03-01,75.0072
1962-04-01,75.1294
1962-05-01,76.0848
1962-06-01,77.0454
1962-07-01,78.5973
1962-08-01,79.4862
1962-09-01,79.2859
1962-10-01,79.6754
1962-11-01,79.8131
1962-12-01,80.106
1963-01-01,84.7948
1963-02-01,84.2398
1963-03-01,83.5742
1963-04-01,82.7461
1963-05-01,80.5048
1963-06-01,82.357
1963-07-01,83.0346
1963-08-01,83.5421
1963-09-01,83.8812
1963-10-01,83.4805
1963-11-01,82.1034
1963-12-01,81.9766
1964-01-01,82.2559
1964-02-01,82.7756
1964-03-01,82.5877
1964-04-01,82.8823
1964-05-01,83.255
1964-06-01,81.9512
1964-07-01,80.5763
1964-08-01,80.3983
1964-09-01,80.3004
1964-10-01,80.2819
1964-11-01,81.4404
1964-12-01,81.0049
1965-01-01,81.4288
1965-02-01,80.9199
1965-03-01,80.856
1965-04-01,81.4054
1965-05-01,83.3198
1965-06-01,82.9408
1965-07-01,83.3947
1965-08-01,83.8437
1965-09-01,84.8095
1965-10-01,86.5064
1965-11-01,87.374
1965-12-01,88.3895
1966-01-01,91.6407
1966-02-01,90.2306
1966-03-01,90.6345
1966-04-01,90.0412
1966-05-01,90.8593
1966-06-01,90.1364
1966-07-01,92.6553
1966-08-01,94.1748
1966-09-01,92.0255
1966-10-01,93.2557
1966-11-01,93.1397
1966-12-01,93.0631
1967-01-01,93.8194
1967-02-01,93.7996
1967-03-01,94.0475
1967-04-01,95.2544
1967-05-01,95.0427
1967-06-01,94.8937
1967-07-01,93.7525
1967-08-01,94.2744
1967-09-01,93.1351
1967-10-01,93.7718
1967-11-01,93.3876
1967-12-01,94.5708
1968-01-01,93.5515
1968-02-01,94.9862
1968-03-01,92.3657
1968-04-01,89.055
1968-05-01,90.4605
1968-06-01,91.3181
1968-07-01,90.9461
1968-08-01,89.2912
1968-09-01,87.9848
1968-10-01,87.5806
1968-11-01,87.3026
1968-12-01,86.9468
1969-01-01,87.0134
1969-02-01,86.81
1969-03-01,87.5195
1969-04-01,87.2487
1969-05-01,86.8304
1969-06-01,85.7856
1969-07-01,86.1763
1969-08-01,86.2603
1969-09-01,86.7795
1969-10-01,87.1372
1969-11-01,84.3045
1969-12-01,82.877
1970-01-01,81.3444
1970-02-01,80.9422
1970-03-01,79.6425
1970-04-01,79.4035
1970-05-01,75.085
1970-06-01,75.0022
1970-07-01,74.6977
1970-08-01,73.5428
1970-09-01,72.5976
1970-10-01,70.6796
1970-11-01,70.2123
1970-12-01,69.1436
1971-01-01,68.7676
1971-02-01,67.8954
1971-03-01,66.1134
1971-04-01,66.3262
1971-05-01,66.8116
1971-06-01,66.4126
1971-07-01,65.9186
1971-08-01,66.4838
1971-09-01,66.7305
1971-10-01,68.4348
1971-11-01,66.1187
1971-12-01,65.5996
1972-01-01,66.234
1972-02-01,66.3829
1972-03-01,66.6027
1972-04-01,66.4393
1972-05-01,64.7704
1972-06-01,64.1488
1972-07-01,63.6814
1972-08-01,63.7547
1972-09-01,64.1528
1972-10-01,65.2108
1972-11-01,67.1799
1972-12-01,68.728
1973-01-01,69.8839
1973-02-01,71.7617
1973-03-01,71.9875
1973-04-01,72.4642
1973-05-01,72.6939
1973-06-01,73.2494
1973-07-01,74.222
1973-08-01,74.274
1973-09-01,74.6829
1973-10-01,75.8654
1973-11-01,75.6433
1973-12-01,74.9374
1974-01-01,74.3746
1974-02-01,73.7123
1974-03-01,73.4617
1974-04-01,72.854
1974-05-01,73.5962
1974-06-01,73.1208
1974-07-01,74.3545
1974-08-01,75.4216
1974-09-01,75.6644
1974-10-01,76.0548
