DATE,VALUE
1970-01-01,634.373
1971-01-01,653.8
1972-01-01,669.4
1973-01-01,669.9
1974-01-01,683.6
1975-01-01,697.4
1976-01-01,711.8
1977-01-01,727.6
1978-01-01,748.3
1979-01-01,768.5
1980-01-01,783.381
1981-01-01,806.297
1982-01-01,832.148
1983-01-01,852.626
1984-01-01,869.581
1985-01-01,891.113
1986-01-01,916.044
1987-01-01,948.523
1988-01-01,979.279
1989-01-01,1008.753
1990-01-01,1075.819
1991-01-01,1107.559
1992-01-01,1121.523
1993-01-01,1127.608
1994-01-01,1130.094
1995-01-01,1140.825
1996-01-01,1155.635
1997-01-01,1169.855
1998-01-01,1186.617
1999-01-01,1206.659
2000-01-01,1230.155
2001-01-01,1265.496
2002-01-01,1299.33
2003-01-01,1325.64
2004-01-01,1344.543
2005-01-01,1354.776
2006-01-01,1362.171
2007-01-01,1373.33
2008-01-01,1386.082
2009-01-01,1399.663
2010-01-01,1422.01
2011-01-01,1435.548
2012-01-01,1448.466
2013-01-01,1462.338
2014-01-01,1481.474
2015-01-01,1501.335
