DATE,VALUE
2002-01-01,105.7
2002-02-01,105.7
2002-03-01,105.7
2002-04-01,105.7
2002-05-01,106.0
2002-06-01,105.9
2002-07-01,106.2
2002-08-01,106.4
2002-09-01,106.5
2002-10-01,106.1
2002-11-01,106.1
2002-12-01,105.9
2003-01-01,106.5
2003-02-01,106.4
2003-03-01,106.5
2003-04-01,106.5
2003-05-01,105.7
2003-06-01,106.2
2003-07-01,106.9
2003-08-01,106.9
2003-09-01,106.8
2003-10-01,106.9
2003-11-01,107.5
2003-12-01,107.9
2004-01-01,108.5
2004-02-01,109.0
2004-03-01,109.5
2004-04-01,110.9
2004-05-01,111.0
2004-06-01,110.9
2004-07-01,110.6
2004-08-01,109.9
2004-09-01,110.6
2004-10-01,110.8
2004-11-01,110.7
2004-12-01,111.2
2005-01-01,110.4
2005-02-01,109.9
2005-03-01,110.0
2005-04-01,110.4
2005-05-01,110.9
2005-06-01,111.0
2005-07-01,110.8
2005-08-01,110.7
2005-09-01,110.5
2005-10-01,110.4
2005-11-01,111.3
2005-12-01,112.4
2006-01-01,112.5
2006-02-01,112.5
2006-03-01,112.3
2006-04-01,115.2
2006-05-01,116.4
2006-06-01,116.8
2006-07-01,116.9
2006-08-01,117.3
2006-09-01,117.3
2006-10-01,116.7
2006-11-01,116.3
2006-12-01,116.2
2007-01-01,116.744
2007-02-01,117.607
2007-03-01,117.56
2007-04-01,117.597
2007-05-01,117.831
2007-06-01,119.015
2007-07-01,119.541
2007-08-01,119.861
2007-09-01,121.051
2007-10-01,121.795
2007-11-01,121.755
2007-12-01,122.446
2008-01-01,122.744
2008-02-01,124.363
2008-03-01,127.029
2008-04-01,128.14
2008-05-01,129.026
2008-06-01,130.699
2008-07-01,133.66
2008-08-01,135.863
2008-09-01,138.135
2008-10-01,139.613
2008-11-01,140.737
2008-12-01,141.485
2009-01-01,142.499
2009-02-01,143.32
2009-03-01,143.76
2009-04-01,143.981
2009-05-01,143.863
2009-06-01,144.283
2009-07-01,144.892
2009-08-01,144.69
2009-09-01,144.721
2009-10-01,143.904
2009-11-01,143.451
2009-12-01,142.867
2010-01-01,143.085
2010-02-01,143.793
2010-03-01,144.312
2010-04-01,144.286
2010-05-01,143.442
2010-06-01,143.316
2010-07-01,142.261
2010-08-01,142.948
2010-09-01,143.19
2010-10-01,143.166
2010-11-01,143.278
2010-12-01,142.663
2011-01-01,143.186
2011-02-01,144.126
2011-03-01,145.239
2011-04-01,145.254
2011-05-01,144.702
2011-06-01,146.283
2011-07-01,147.422
2011-08-01,148.711
2011-09-01,148.599
2011-10-01,148.002
2011-11-01,147.965
2011-12-01,147.809
2012-01-01,148.702
2012-02-01,149.015
2012-03-01,149.873
2012-04-01,149.945
2012-05-01,149.794
2012-06-01,150.995
2012-07-01,150.125
2012-08-01,150.144
2012-09-01,151.224
2012-10-01,152.007
2012-11-01,152.663
2012-12-01,152.099
2013-01-01,152.172
2013-02-01,152.95
2013-03-01,154.021
2013-04-01,154.338
2013-05-01,154.931
2013-06-01,154.583
2013-07-01,154.647
2013-08-01,154.33
2013-09-01,154.238
2013-10-01,154.423
2013-11-01,154.447
2013-12-01,153.766
2014-01-01,153.301
2014-02-01,153.397
2014-03-01,152.169
2014-04-01,152.851
2014-05-01,153.496
2014-06-01,154.142
2014-07-01,153.166
2014-08-01,153.602
2014-09-01,154.283
2014-10-01,154.206
2014-11-01,154.259
2014-12-01,154.418
2015-01-01,152.653
2015-02-01,152.559
2015-03-01,153.397
2015-04-01,152.395
2015-05-01,152.958
2015-06-01,153.511
2015-07-01,150.514
2015-08-01,149.901
2015-09-01,150.955
2015-10-01,151.697
2015-11-01,151.724
2015-12-01,152.068
2016-01-01,152.312
2016-02-01,151.823
2016-03-01,151.671
2016-04-01,152.957
2016-05-01,152.772
2016-06-01,153.171
2016-07-01,152.388
2016-08-01,152.894
